Board,InputChannel,SoftwareChannel,ChannelType,ChannelName,NumDevicesInChannel,IsAmplified,IsDead,ChannelPosX,ChannelPosY,ChargeMCChannelMap,,Saturating?,Baseline
0,3,3,SiPM,1-4,1,FALSE,FALSE,-1000,-1000,None,,no,
0,6,6,SiPM,2-1,1,FALSE,FALSE,-1000,-1000,None,,no,35800
0,11,11,SiPM,2-6,1,FALSE,FALSE,-1000,-1000,None,,no,
1,0,16,TileStrip,Y1/2,2,TRUE,FALSE,0,-48,"33,34",,no,
1,1,17,TileStrip,Y3/4,2,TRUE,FALSE,0,-42,"35,36",,no,
1,2,18,TileStrip,Y5,1,TRUE,FALSE,0,-37.5,"37,38",,no,
1,3,19,TileStrip,Y7/8,2,TRUE,FALSE,0,-30,"39,40",,no,32300
1,4,20,TileStrip,Y9/10,2,TRUE,FALSE,0,-24,"41,42",,no,
1,5,21,TileStrip,Y11/12,2,TRUE,FALSE,0,-18,"43,44",,no,15700
1,6,22,TileStrip,Y13/14,2,TRUE,FALSE,0,-12,"45,46",,no,22500
1,7,23,TileStrip,Y15/16,2,TRUE,FALSE,0,-6,"47,48",,no,18200
1,8,24,TileStrip,Y17/18,2,TRUE,FALSE,0,0,"49,50",,no,
1,9,25,TileStrip,Y19/20,2,TRUE,FALSE,0,6,"51,52",,no,
1,10,26,TileStrip,Y21/22,2,TRUE,FALSE,0,12,"53,54",,no,
1,11,27,TileStrip,Y23/24,2,TRUE,FALSE,0,18,"55,56",,no,
1,12,28,TileStrip,Y25/26,2,TRUE,TRUE,0,24,"57,58",,no,
1,13,29,TileStrip,Y27/28,2,TRUE,FALSE,0,30,"59,60",,no,31900
1,14,30,TileStrip,Y29/30,2,TRUE,FALSE,0,36,"61,62",,no,
1,15,31,TileStrip,Y6,1,TRUE,TRUE,0,-34.5,"63,64",,no,
2,0,32,TileStrip,X1/2,2,TRUE,FALSE,-48,0,"1,2",,no,
2,1,33,TileStrip,X3/4,2,TRUE,TRUE,-42,0,"3,4",,no,32000
2,2,34,TileStrip,X5/6,2,TRUE,FALSE,-36,0,"5,6",,no,
2,3,35,TileStrip,X7/8,2,TRUE,FALSE,-30,0,"7,8",,no,
2,4,36,TileStrip,X9/10,2,TRUE,FALSE,-24,0,"9,10",,no,26550
2,5,37,TileStrip,X11/12,2,TRUE,FALSE,-18,0,"11,12",,no,18550
2,6,38,TileStrip,X13/14,2,TRUE,FALSE,-12,0,"13,14",,no,19350
2,7,39,TileStrip,X15/16,2,TRUE,FALSE,-6,0,"15,16",,no,64900
2,8,40,TileStrip,X17/18,2,TRUE,FALSE,0,0,"17,18",,no,31700
2,9,41,TileStrip,X19,1,TRUE,FALSE,4.5,0,"19,20",,no,31700
2,10,42,TileStrip,X20,1,TRUE,FALSE,7.5,0,"21,22",,no,
2,11,43,TileStrip,X21/22,2,TRUE,FALSE,12,0,"23,24",,no,
2,12,44,TileStrip,X23,1,TRUE,FALSE,16.5,0,"25,26",,no,32500
2,13,45,TileStrip,X25/26,2,TRUE,FALSE,24,0,"27,28",,no,31450
2,14,46,TileStrip,X27/28,2,TRUE,FALSE,30,0,"29,30",,no,
2,15,47,TileStrip,X29/30,2,TRUE,FALSE,36,0,"31,32",,no,